nav,date,plan,option
11.1713,2026-08-10 00:00:00,Direct Plan,Growth
11.1816,2026-08-11 00:00:00,Direct Plan,Growth
11.1953,2026-08-12 00:00:00,Direct Plan,Growth
11.2547,2026-08-13 00:00:00,Direct Plan,Growth
11.2208,2026-08-14 00:00:00,Direct Plan,Growth
11.2689,2026-08-17 00:00:00,Direct Plan,Growth
11.2964,2026-08-18 00:00:00,Direct Plan,Growth
11.2721,2026-08-19 00:00:00,Direct Plan,Growth
11.323,2026-08-20 00:00:00,Direct Plan,Growth
11.3374,2026-08-21 00:00:00,Direct Plan,Growth
11.3069,2026-08-24 00:00:00,Direct Plan,Growth
11.3058,2026-08-25 00:00:00,Direct Plan,Growth
11.3337,2026-08-26 00:00:00,Direct Plan,Growth
11.2669,2026-08-27 00:00:00,Direct Plan,Growth
11.2502,2026-08-28 00:00:00,Direct Plan,Growth
11.2055,2026-08-31 00:00:00,Direct Plan,Growth
11.1477,2026-09-01 00:00:00,Direct Plan,Growth
11.0674,2026-09-02 00:00:00,Direct Plan,Growth
11.1093,2026-09-03 00:00:00,Direct Plan,Growth
11.0845,2026-09-04 00:00:00,Direct Plan,Growth
11.0923,2026-09-07 00:00:00,Direct Plan,Growth
11.0966,2026-09-08 00:00:00,Direct Plan,Growth
11.0157,2026-09-09 00:00:00,Direct Plan,Growth
