date,scheme_code,scheme_name,provider,category,plan,option,nav,isin_growth,isin_reinvest
2025-10-08,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.0054,INF966L30019,
2025-10-08,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.0053,INF966L30035,INF966L30043
2025-10-08,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.0046,INF966L30027,
2025-10-08,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.0046,INF966L30050,INF966L30068
2025-10-09,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.0153,INF966L30019,
2025-10-09,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.0152,INF966L30035,INF966L30043
2025-10-09,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.0141,INF966L30027,
2025-10-09,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.0141,INF966L30050,INF966L30068
2025-10-10,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.0169,INF966L30019,
2025-10-10,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.0167,INF966L30035,INF966L30043
2025-10-10,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.0152,INF966L30027,
2025-10-10,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.0153,INF966L30050,INF966L30068
2025-10-13,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.0226,INF966L30019,
2025-10-13,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.0224,INF966L30035,INF966L30043
2025-10-13,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.0197,INF966L30027,
2025-10-13,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.0199,INF966L30050,INF966L30068
2025-10-14,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.0181,INF966L30019,
