Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund )

Infinity SIF
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.061;09-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.078;10-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.094;13-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.093;14-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.093;15-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.103;16-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.12;17-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.127;20-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.147;21-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.134;22-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.125;23-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.121;24-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.137;27-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.135;28-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.145;29-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.15;30-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.182;31-Jul-2026
SIF-145;INFINITY HYBRID LONG-SHORT FUND-DIRECT - GROWTH;Direct Plan;GROWTH;INF174K30012;;10.215;03-Aug-2026
