Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Ex-Top 100 Long-Short Fund )

Magnum SIF
SIF-159;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF200K30106;;9.9655;02-Sep-2026
SIF-159;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF200K30106;;9.9854;03-Sep-2026
SIF-159;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF200K30106;;10.0098;04-Sep-2026
SIF-159;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF200K30106;;9.9804;07-Sep-2026
SIF-159;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF200K30106;;9.9480;08-Sep-2026
SIF-159;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF200K30106;;9.8986;09-Sep-2026
SIF-160;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF200K30114;INF200K30122;9.9655;02-Sep-2026
SIF-160;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF200K30114;INF200K30122;9.9854;03-Sep-2026
SIF-160;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF200K30114;INF200K30122;10.0098;04-Sep-2026
SIF-160;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF200K30114;INF200K30122;9.9804;07-Sep-2026
SIF-160;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF200K30114;INF200K30122;9.9480;08-Sep-2026
SIF-160;Magnum Equity Ex-Top 100 Long Short Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF200K30114;INF200K30122;9.8986;09-Sep-2026
SIF-157;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF200K30072;;9.9630;02-Sep-2026
SIF-157;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF200K30072;;9.9825;03-Sep-2026
SIF-157;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF200K30072;;10.0066;04-Sep-2026
SIF-157;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF200K30072;;9.9761;07-Sep-2026
SIF-157;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF200K30072;;9.9435;08-Sep-2026
SIF-157;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF200K30072;;9.8937;09-Sep-2026
SIF-158;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - IDCW;Regular Plan;IDCW;INF200K30080;INF200K30098;9.9630;02-Sep-2026
SIF-158;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - IDCW;Regular Plan;IDCW;INF200K30080;INF200K30098;9.9825;03-Sep-2026
SIF-158;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - IDCW;Regular Plan;IDCW;INF200K30080;INF200K30098;10.0066;04-Sep-2026
SIF-158;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - IDCW;Regular Plan;IDCW;INF200K30080;INF200K30098;9.9762;07-Sep-2026
SIF-158;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - IDCW;Regular Plan;IDCW;INF200K30080;INF200K30098;9.9435;08-Sep-2026
SIF-158;Magnum Equity Ex-Top 100 Long Short Fund - Regular Plan - IDCW;Regular Plan;IDCW;INF200K30080;INF200K30098;9.8937;09-Sep-2026

Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund )

Magnum SIF
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0357;29-Oct-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0250;30-Oct-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0017;31-Oct-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0174;03-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0023;04-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;9.9938;06-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;9.9934;07-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0005;10-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0141;11-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0322;12-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0388;13-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0495;14-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0688;17-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0558;18-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0903;19-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0969;20-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0759;21-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0801;24-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.0850;25-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.1323;26-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.1318;27-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.1252;28-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.1262;30-Nov-2025
SIF-14;Magnum Hybrid Long Short Fund - Direct  Plan - Growth;Direct Plan;Growth;INF200K30049;;10.1375;01-Dec-2025
