Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund )

RedHex SIF
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0213;25-Jun-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0225;29-Jun-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0376;30-Jun-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0375;01-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0466;02-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0756;03-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0659;06-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0681;07-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0561;08-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0634;09-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0601;10-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0646;13-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0605;14-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0568;15-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.06;16-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0731;17-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0736;20-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0809;21-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0837;22-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0824;23-Jul-2026
SIF-129;RedHex Hybrid Long-Short Fund - Direct - Growth;Direct Plan;Growth;INF336L30049;;10.0747;24-Jul-2026
