Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund )

SUMMIT SIF
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;9.98;24-Jul-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.03000000;27-Jul-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.05000000;28-Jul-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.08000000;29-Jul-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.20000000;30-Jul-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.23000000;31-Jul-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.30000000;03-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.28000000;04-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.32000000;05-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.34;06-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.31;07-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.32;10-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.32;11-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.32;12-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.33;13-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.32;14-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.43;17-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.50;18-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.52;19-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.57;20-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.56;21-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.54;24-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.61;25-Aug-2026
