Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund )

Diviniti SIF
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.9530;03-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1001.3440;04-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1003.7033;05-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.6632;08-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;999.7664;09-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;999.1685;10-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.5175;11-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1002.4842;12-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1002.4957;15-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.6526;16-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.1837;17-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.3331;18-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1002.0941;19-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1004.3506;22-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1003.8238;23-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1003.5902;24-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1002.2094;26-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.9747;29-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1000.9537;30-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1003.5044;31-Dec-2025
SIF-19;Diviniti Equity Long Short Fund - Direct Plan Growth Option;Direct Plan;Growth Option;INF00XX30043;;1004.7905;01-Jan-2026
