Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund )

Prism SIF
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0149;23-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0115;24-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0233;27-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0193;28-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0138;29-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0353;30-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0501;31-Jul-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0867;03-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0869;04-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.0849;05-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1014;06-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1136;07-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1173;10-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1132;11-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1352;12-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1493;13-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1504;14-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1410;17-Aug-2026
SIF-139;Prism Hybrid Long-Short Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF22M030027;;10.1362;18-Aug-2026
